data_riferimento,pos,titolo,prima_programmazione,nazione,distribuzione,incasso_eur,presenze,incasso_totale_eur,presenze_totale,scraped_at_utc
2026-09-14,1,COYOTE VS ACME,02/09/2026,GBR,LUCKY RED DISTRIBUZIONE,74465.0,10541,3034831.0,403850,2026-09-15T10:11:45+00:00
2026-09-14,2,ODISSEA,16/07/2026,GBR,UNIVERSAL,73211.0,8729,57191462.0,6782600,2026-09-15T10:11:45+00:00
2026-09-14,3,PAW PATROL : MISSIONE DINOSAURI,09/09/2026,CAN,EAGLE PICTURES,41739.0,6316,1061594.0,143626,2026-09-15T10:11:45+00:00
2026-09-14,4,AMORI & INCANTESIMI 2 (PRACTICAL MAGIC 2),10/09/2026,GBR,WARNER BROS. ITALIA,34504.0,4976,373306.0,49088,2026-09-15T10:11:45+00:00
2026-09-14,5,OCEANIA (MOANA),19/08/2026,USA,WALT DISNEY S.M.P. ITALIA,29841.0,4393,11019152.0,1434089,2026-09-15T10:11:45+00:00
2026-09-14,6,MUTINY,10/09/2026,GBR,EAGLE PICTURES,29343.0,4098,337124.0,43682,2026-09-15T10:11:45+00:00
2026-09-14,7,SPIDER-MAN: BRAND NEW DAY,29/07/2026,USA,EAGLE PICTURES,27892.0,3522,38251452.0,4750165,2026-09-15T10:11:45+00:00
2026-09-14,8,ASSASSINATION CLASSROOM - IL FILM: L'ORA DI TUTTI NOI,14/09/2026,JPN,EAGLE PICTURES,26544.0,2769,26544.0,2769,2026-09-15T10:11:45+00:00
2026-09-14,9,OASIS: DON'T LOOK BACK IN ANGER,10/09/2026,GBR,WALT DISNEY S.M.P. ITALIA,24564.0,2027,527674.0,38078,2026-09-15T10:11:45+00:00
2026-09-14,10,BATMAN (1989) - RIED. 2026,14/09/2026,USA,WARNER BROS. ITALIA,24056.0,3055,24056.0,3055,2026-09-15T10:11:45+00:00
2026-09-14,1,COYOTE VS ACME,02/09/2026,GBR,LUCKY RED DISTRIBUZIONE,74465.0,10541,3034831.0,403850,2026-09-15T10:11:45+00:00
2026-09-14,2,ODISSEA,16/07/2026,GBR,UNIVERSAL,73211.0,8729,57191462.0,6782600,2026-09-15T10:11:45+00:00
2026-09-14,3,PAW PATROL : MISSIONE DINOSAURI,09/09/2026,CAN,EAGLE PICTURES,41739.0,6316,1061594.0,143626,2026-09-15T10:11:45+00:00
2026-09-14,4,AMORI & INCANTESIMI 2 (PRACTICAL MAGIC 2),10/09/2026,GBR,WARNER BROS. ITALIA,34504.0,4976,373306.0,49088,2026-09-15T10:11:45+00:00
2026-09-14,5,OCEANIA (MOANA),19/08/2026,USA,WALT DISNEY S.M.P. ITALIA,29841.0,4393,11019152.0,1434089,2026-09-15T10:11:45+00:00
2026-09-14,6,MUTINY,10/09/2026,GBR,EAGLE PICTURES,29343.0,4098,337124.0,43682,2026-09-15T10:11:45+00:00
2026-09-14,7,SPIDER-MAN: BRAND NEW DAY,29/07/2026,USA,EAGLE PICTURES,27892.0,3522,38251452.0,4750165,2026-09-15T10:11:45+00:00
2026-09-14,8,ASSASSINATION CLASSROOM - IL FILM: L'ORA DI TUTTI NOI,14/09/2026,JPN,EAGLE PICTURES,26544.0,2769,26544.0,2769,2026-09-15T10:11:45+00:00
2026-09-14,9,OASIS: DON'T LOOK BACK IN ANGER,10/09/2026,GBR,WALT DISNEY S.M.P. ITALIA,24564.0,2027,527674.0,38078,2026-09-15T10:11:45+00:00
2026-09-14,10,BATMAN (1989) - RIED. 2026,14/09/2026,USA,WARNER BROS. ITALIA,24056.0,3055,24056.0,3055,2026-09-15T10:11:45+00:00
2026-09-14,1,BUEN CAMINO,25/12/2025,ITA,MEDUSA FILM,76594154.0,9567442,76594154.0,9567442,2026-09-15T10:11:45+00:00
2026-09-14,2,ODISSEA,16/07/2026,GBR,UNIVERSAL,57191462.0,6782600,57191462.0,6782600,2026-09-15T10:11:45+00:00
2026-09-14,3,SPIDER-MAN: BRAND NEW DAY,29/07/2026,USA,EAGLE PICTURES,38251452.0,4750165,38251452.0,4750165,2026-09-15T10:11:45+00:00
2026-09-14,4,IL DIAVOLO VESTE PRADA 2 (THE DEVIL WEARS PRADA 2),29/04/2026,USA,WALT DISNEY S.M.P. ITALIA,32217244.0,4043663,32217244.0,4043663,2026-09-15T10:11:45+00:00
2026-09-14,5,MICHAEL,22/04/2026,USA,UNIVERSAL,25830757.0,3230073,25830757.0,3230073,2026-09-15T10:11:45+00:00
2026-09-14,6,AVATAR: FUOCO E CENERE (AVATAR: FIRE AND ASH),17/12/2025,USA,WALT DISNEY S.M.P. ITALIA,25806365.0,2775516,25806365.0,2775516,2026-09-15T10:11:45+00:00
2026-09-14,7,ZOOTROPOLIS 2 (ZOOTOPIA 2),26/11/2025,USA,WALT DISNEY S.M.P. ITALIA,19655046.0,2541636,19655046.0,2541636,2026-09-15T10:11:45+00:00
2026-09-14,8,SUPER MARIO GALAXY IL FILM (THE SUPER MARIO GALAXY MOVIE),01/04/2026,USA,UNIVERSAL,14486383.0,1868809,14486383.0,1868809,2026-09-15T10:11:45+00:00
2026-09-14,9,CIME TEMPESTOSE (WUTHERING HEIGHTS),12/02/2026,GBR,WARNER BROS. ITALIA,11268623.0,1435887,11268623.0,1435887,2026-09-15T10:11:45+00:00
2026-09-14,10,OCEANIA (MOANA),19/08/2026,USA,WALT DISNEY S.M.P. ITALIA,11019152.0,1434089,11019152.0,1434089,2026-09-15T10:11:45+00:00
2026-09-14,1,ODISSEA,16/07/2026,GBR,UNIVERSAL,57191462.0,6782600,57191462.0,6782600,2026-09-15T10:11:45+00:00
2026-09-14,2,BUEN CAMINO,25/12/2025,ITA,MEDUSA FILM,40462521.0,5076267,76594154.0,9567442,2026-09-15T10:11:45+00:00
2026-09-14,3,SPIDER-MAN: BRAND NEW DAY,29/07/2026,USA,EAGLE PICTURES,38251452.0,4750165,38251452.0,4750165,2026-09-15T10:11:45+00:00
2026-09-14,4,IL DIAVOLO VESTE PRADA 2 (THE DEVIL WEARS PRADA 2),29/04/2026,USA,WALT DISNEY S.M.P. ITALIA,32217244.0,4043663,32217244.0,4043663,2026-09-15T10:11:45+00:00
2026-09-14,5,MICHAEL,22/04/2026,USA,UNIVERSAL,25830757.0,3230073,25830757.0,3230073,2026-09-15T10:11:45+00:00
