data_riferimento,pos,titolo,prima_programmazione,nazione,distribuzione,incasso_eur,presenze,incasso_totale_eur,presenze_totale,scraped_at_utc
2026-09-14,1,COYOTE VS ACME,02/09/2026,GBR,LUCKY RED DISTRIBUZIONE,74465.0,10541,3034831.0,403850,2026-09-15T10:16:33+00:00
2026-09-14,2,ODISSEA,16/07/2026,GBR,UNIVERSAL,73211.0,8729,57191462.0,6782600,2026-09-15T10:16:33+00:00
2026-09-14,3,PAW PATROL : MISSIONE DINOSAURI,09/09/2026,CAN,EAGLE PICTURES,41739.0,6316,1061594.0,143626,2026-09-15T10:16:33+00:00
2026-09-14,4,AMORI & INCANTESIMI 2 (PRACTICAL MAGIC 2),10/09/2026,GBR,WARNER BROS. ITALIA,34504.0,4976,373306.0,49088,2026-09-15T10:16:33+00:00
2026-09-14,5,OCEANIA (MOANA),19/08/2026,USA,WALT DISNEY S.M.P. ITALIA,29841.0,4393,11019152.0,1434089,2026-09-15T10:16:33+00:00
2026-09-14,6,MUTINY,10/09/2026,GBR,EAGLE PICTURES,29343.0,4098,337124.0,43682,2026-09-15T10:16:33+00:00
2026-09-14,7,SPIDER-MAN: BRAND NEW DAY,29/07/2026,USA,EAGLE PICTURES,27892.0,3522,38251452.0,4750165,2026-09-15T10:16:33+00:00
2026-09-14,8,ASSASSINATION CLASSROOM - IL FILM: L'ORA DI TUTTI NOI,14/09/2026,JPN,EAGLE PICTURES,26544.0,2769,26544.0,2769,2026-09-15T10:16:33+00:00
2026-09-14,9,OASIS: DON'T LOOK BACK IN ANGER,10/09/2026,GBR,WALT DISNEY S.M.P. ITALIA,24564.0,2027,527674.0,38078,2026-09-15T10:16:33+00:00
2026-09-14,10,BATMAN (1989) - RIED. 2026,14/09/2026,USA,WARNER BROS. ITALIA,24056.0,3055,24056.0,3055,2026-09-15T10:16:33+00:00
2026-09-15,1,COYOTE VS ACME,02/09/2026,GBR,LUCKY RED DISTRIBUZIONE,83489.0,11739,3119377.0,415721,2026-09-16T10:12:57+00:00
2026-09-15,2,ODISSEA,16/07/2026,GBR,UNIVERSAL,78859.0,9395,57270545.0,6792022,2026-09-16T10:12:57+00:00
2026-09-15,3,AMORI & INCANTESIMI 2 (PRACTICAL MAGIC 2),10/09/2026,GBR,WARNER BROS. ITALIA,45266.0,6533,418987.0,55677,2026-09-16T10:12:57+00:00
2026-09-15,4,PAW PATROL : MISSIONE DINOSAURI,09/09/2026,CAN,EAGLE PICTURES,39161.0,6011,1101418.0,149734,2026-09-16T10:12:57+00:00
2026-09-15,5,OCEANIA (MOANA),19/08/2026,USA,WALT DISNEY S.M.P. ITALIA,33235.0,4884,11053215.0,1439080,2026-09-16T10:12:57+00:00
2026-09-15,6,OASIS: DON'T LOOK BACK IN ANGER,10/09/2026,GBR,WALT DISNEY S.M.P. ITALIA,33099.0,2759,560928.0,40858,2026-09-16T10:12:57+00:00
2026-09-15,7,MUTINY,10/09/2026,GBR,EAGLE PICTURES,32425.0,4598,369679.0,48296,2026-09-16T10:12:57+00:00
2026-09-15,8,BATMAN (1989) - RIED. 2026,14/09/2026,USA,WARNER BROS. ITALIA,30335.0,3906,54520.0,6980,2026-09-16T10:12:57+00:00
2026-09-15,9,ASSASSINATION CLASSROOM - IL FILM: L'ORA DI TUTTI NOI,14/09/2026,JPN,EAGLE PICTURES,28654.0,3109,55545.0,5923,2026-09-16T10:12:57+00:00
2026-09-15,10,SPIDER-MAN: BRAND NEW DAY,29/07/2026,USA,EAGLE PICTURES,28091.0,3653,38279671.0,4753835,2026-09-16T10:12:57+00:00
